Time (s),Temperature (C)
181.0,128.11665112665148
182.0,127.92045066045101
183.0,127.73011655011692
184.0,127.57975912975947
185.0,127.51719502719538
186.0,127.42152292152328
187.0,127.36634809634843
188.0,127.26912198912235
189.0,127.1557109557113
190.0,127.02385392385429
191.0,126.96128982129018
192.0,126.90390054390089
193.0,126.88764568764604
194.0,126.83107226107262
195.0,126.80149184149222
196.0,126.76608391608427
197.0,126.69202797202831
198.0,126.54340326340362
199.0,126.40641025641061
200.0,126.28658119658155
201.0,126.22109557109593
202.0,126.10878010878046
203.0,126.0653768453772
204.0,125.97514374514411
205.0,125.91156177156215
206.0,125.87234654234688
207.0,125.87158508158545
208.0,125.85140637140671
209.0,125.88120435120472
210.0,125.859471639472
211.0,125.84146853146889
212.0,125.76551670551704
213.0,125.75545454545488
214.0,125.68208236208272
215.0,125.61499611499646
216.0,125.5521134421138
217.0,125.53851592851628
218.0,125.48612276612312
219.0,125.50536907536942
220.0,125.39257964257997
221.0,125.35670551670586
222.0,125.28626262626297
223.0,125.27209013209047
224.0,125.16815850815885
225.0,125.06891219891254
226.0,124.93163170163204
227.0,124.79588966589002
228.0,124.65832944832978
229.0,124.52811188811222
230.0,124.33238539238573
231.0,124.2479642579646
232.0,124.11661227661261
233.0,124.08120435120469
234.0,124.02980574980609
235.0,123.98792540792574
236.0,123.95365967366001
237.0,123.87675213675249
238.0,123.80327117327153
239.0,123.76824397824431
240.0,123.70009324009358
241.0,123.69933177933211
242.0,123.64602952602986
243.0,123.6852447552451
244.0,123.69704739704774
245.0,123.72636363636398
246.0,123.71151515151551
247.0,123.68372183372219
248.0,123.61595182595217
249.0,123.57140637140672
250.0,123.47850815850852
251.0,123.45147630147665
252.0,123.3604817404821
253.0,123.35439005439041
254.0,123.27595959595995
255.0,123.31479409479444
256.0,123.29880341880376
257.0,123.37913752913788
258.0,123.39360528360562
259.0,123.44500388500421
260.0,123.48498057498092
261.0,123.52724164724198
262.0,123.49259518259551
263.0,123.46023310023345
264.0,123.38180264180299
265.0,123.38456876456911
266.0,123.32209790209824
267.0,123.3250349650353
268.0,123.2905827505831
269.0,123.2839471639475
270.0,123.36048174048209
271.0,123.42924630924665
272.0,123.44188811188847
273.0,123.50092463092498
274.0,123.51436674436708
275.0,123.48846153846189
276.0,123.47926961926997
277.0,123.47385392385426
278.0,123.41515151515186
279.0,123.38517482517516
280.0,123.40010878010914
281.0,123.37368298368334
282.0,123.34721833721869
283.0,123.36898989899025
284.0,123.28875679875715
285.0,123.30031857031891
286.0,123.34703962703998
287.0,123.38719502719538
288.0,123.39732711732745
289.0,123.3257109557113
290.0,123.31349650349686
291.0,123.34563325563359
292.0,123.38727272727306
293.0,123.42198912198948
294.0,123.38810411810447
295.0,123.40636363636399
296.0,123.34784770784806
297.0,123.31926184926219
298.0,123.20448329448364
299.0,123.02483294483329
300.0,122.94321678321712
301.0,122.93303807303842
302.0,122.90649572649608
303.0,122.9426029526033
304.0,122.90525252525288
305.0,122.97600621600655
306.0,123.05001554001588
307.0,123.14169386169421
308.0,123.16461538461574
309.0,123.14619269619304
310.0,123.07652680652716
311.0,123.04171717171751
312.0,122.91284382284418
313.0,122.83750582750616
314.0,122.70182595182631
315.0,122.66444444444478
316.0,122.64718725718758
317.0,122.63794094794127
318.0,122.6169308469312
319.0,122.57456099456134
320.0,122.49123543123578
321.0,122.48008547008583
322.0,122.47181818181853
323.0,122.52468531468566
324.0,122.54649572649608
325.0,122.6090054390058
326.0,122.66774669774706
327.0,122.70566433566468
328.0,122.65735042735078
329.0,122.61578088578123
330.0,122.47442890442926
331.0,122.43292929292961
332.0,122.43331002331036
333.0,122.47214452214484
334.0,122.4740481740485
335.0,122.53572649572682
336.0,122.49232323232359
337.0,122.59750582750617
338.0,122.58986013986048
339.0,122.59622377622411
340.0,122.50999222999258
341.0,122.47584304584338
342.0,122.48730380730416
343.0,122.52343434343469
344.0,122.4601165501169
345.0,122.5646231546235
346.0,122.58795648795683
347.0,122.76769230769264
348.0,122.79119658119691
349.0,122.86962703962739
350.0,122.8273659673663
351.0,122.7645454545458
352.0,122.70210567210601
353.0,122.63014763014796
354.0,122.5041258741262
355.0,122.56923076923111
356.0,122.53724941724975
357.0,122.54981351981387
358.0,122.52163947163983
359.0,122.55324009324043
360.0,122.4626262626266
361.0,122.47290598290631
362.0,122.41922299922334
363.0,122.42912198912232
364.0,122.40970473970508
365.0,122.47480963480997
366.0,122.51059829059864
367.0,122.56808857808892
368.0,122.55438228438261
369.0,122.54867132867167
370.0,122.5163092463096
371.0,122.52658896658932
372.0,122.45577311577345
373.0,122.445112665113
374.0,122.39181041181075
375.0,122.39257187257222
376.0,122.39295260295295
377.0,122.42417249417282
378.0,122.37620046620081
379.0,122.37658119658154
380.0,122.3396503496507
381.0,122.36820512820547
382.0,122.37924630924665
383.0,122.43102564102598
384.0,122.43064491064524
385.0,122.47100233100268
386.0,122.47290598290631
387.0,122.48470862470896
388.0,122.42721833721868
389.0,122.39333333333366
390.0,122.32480186480221
391.0,122.32556332556366
392.0,122.29282051282085
393.0,122.33317793317828
394.0,122.33279720279755
395.0,122.3679005439008
396.0,122.37749494949519
397.0,122.40993317793341
398.0,122.40429836829848
399.0,122.41579642579653
